"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2024","8,864.90","8,836.59","8,880.36","8,822.47","313.11K","0.31%"
"03/25/2024","8,837.68","8,823.22","8,847.13","8,793.88","253.04K","0.17%"
"03/22/2024","8,823.07","8,827.97","8,831.06","8,782.88","242.71K","-0.05%"
"03/21/2024","8,827.20","8,781.43","8,830.65","8,761.16","189.20K","0.52%"
"03/19/2024","8,781.43","8,738.02","8,781.52","8,720.77","277.04K","0.52%"
"03/18/2024","8,735.91","8,708.12","8,745.61","8,708.12","178.67K","0.34%"
"03/15/2024","8,705.93","8,685.30","8,712.22","8,670.48","253.90K","0.23%"
"03/14/2024","8,685.72","8,669.09","8,686.21","8,647.08","360.74K","0.19%"
"03/13/2024","8,669.08","8,661.75","8,675.25","8,638.88","398.41K","0.08%"
"03/12/2024","8,662.00","8,704.72","8,704.72","8,650.83","275.43K","-0.49%"
"03/11/2024","8,704.76","8,708.26","8,722.01","8,695.11","155.10K","-0.04%"
"03/08/2024","8,708.26","8,721.37","8,733.91","8,693.73","500.53K","-0.12%"
"03/07/2024","8,718.47","8,664.19","8,729.75","8,664.19","331.25K","0.62%"
"03/06/2024","8,664.90","8,658.29","8,683.82","8,632.65","411.96K","0.09%"
"03/05/2024","8,656.71","8,700.05","8,720.55","8,650.48","418.65K","-0.50%"
"03/04/2024","8,700.05","8,639.67","8,708.75","8,639.67","162.61K","0.70%"
"03/01/2024","8,639.55","8,630.23","8,641.66","8,608.11","313.17K","0.11%"
"02/29/2024","8,630.23","8,615.37","8,662.71","8,604.63","346.69K","0.17%"
"02/28/2024","8,615.19","8,567.64","8,620.33","8,535.43","331.97K","0.56%"
"02/27/2024","8,567.16","8,583.97","8,596.10","8,519.82","167.35K","-0.21%"